"marca_temporal","interes_en_doctorado","doctorado_de_interes","genero","edad","estado_estudios","estado_residencia","area_maestria","maestria_estudiada","universidad_estudios_maestria","situacion_laboral","motivacion_en_doctorado","tiempo_inicio_doctorado","motivacion_en_doctorado_otro_texto"
2024-04-19 14:22:37.699,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","31 a 35","Tabasco","Ciudad de México","Social","Maestria en Ciencias en Gestión del Desarrollo Regional","Universidad Juárez Autónoma de Tabasco","Empleado","Aplicación en campo","Indefinido",NA
2024-04-22 07:36:13.172,"Sí","Desarrollo del Paisaje Rural","Femenino","26 a 30","Tabasco","Tabasco","Social","Maestria en Ciencias en Gestión del Desarrollo Regional","Universidad Juárez Autónoma de Tabasco","Docente","Investigación","En 1 año",NA
2024-04-23 15:33:13.872,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","26 a 30","Chiapas","Chiapas","Agronómica","Maestría en Ciencias Agroforestales","Universidad de Ciencias y Artes de Chiapas","Docente","Investigación","En 1 año",NA
2024-04-23 15:38:14.445,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","26 a 30","Chiapas","Chiapas","Agronómica","Maestría en Ciencias Agroforestales","Universidad de Ciencias y Artes de Chiapas","Empleado","Investigación","En 1 año",NA
2024-04-23 15:55:35.914,"Sí","Paisaje y Turismo Rural","Masculino","36 a 40","Chiapas","Chiapas","Agronómica","Maestría en Ciencias Agroforestales","Universidad de Ciencias y Artes de Chiapas","Docente","Docencia","En 1 año",NA
2024-04-23 16:13:32.091,"Sí","Desarrollo del Paisaje Rural","Femenino","51 a 55","Chiapas","Chiapas","Agronómica","Maestría en Ciencias Agroforestales","Universidad de Ciencias y Artes de Chiapas","Solo estudia","Docencia","En 1 año",NA
2024-04-23 16:29:00.191,"Sí","Paisaje y Turismo Rural","Masculino","31 a 35","Chiapas","Chiapas","Agronómica","Maestría en Ciencias Agroforestales","Universidad de Ciencias y Artes de Chiapas","Solo estudia","Investigación","En 1 año",NA
2024-04-27 18:39:37.07,"Sí","Paisaje y Turismo Rural","Femenino","56 a 60","Hidalgo","Hidalgo","Otras","Maestría en Tecnología Educativa","Universidad Autónoma del Estado de Hidalgo","Docente","Investigación","En 1 año",NA
2024-04-29 07:44:36.933,"Sí","Desarrollo rural","Masculino","56 a 60","Chiapas","Chiapas","Agronómica","Maestría en Ciencias Agroforestales","Universidad de Ciencias y Artes de Chiapas","Solo estudia","Aplicación en campo","En 2 años",NA
2024-04-30 14:53:22.186,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","36 a 40","Puebla","Puebla","Social","Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional","Colegio de Postgraduados Campus Puebla","Solo estudia","Docencia","En 2 años",NA
