"marca_temporal","interes_en_doctorado","doctorado_de_interes","genero","edad","estado_estudios","estado_residencia","area_maestria","maestria_estudiada","universidad_estudios_maestria","situacion_laboral","motivacion_en_doctorado","tiempo_inicio_doctorado","motivacion_en_doctorado_otro_texto"
2024-04-09 16:38:06.467,"No",NA,"Femenino","21 a 25","Jalisco","Nayarit","Social","Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo","Universidad de Guadalajara","Trabaja y estudia","Investigación","En 1 año",NA
2024-04-09 17:08:29.466,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","46 a 50","Jalisco","Jalisco","Social","Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo","Universidad de Guadalajara","Solo estudia","Docencia","En 1 año",NA
2024-04-09 19:53:13.535,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","26 a 30","Jalisco","Nayarit","Social","Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo","Universidad de Guadalajara","Trabaja y estudia","Investigación","En 3 años",NA
2024-04-10 11:49:22.182,"Sí","Paisaje y Turismo Rural","Femenino","46 a 50","Estado de México","Estado de México","Agronómica","Maestría en Ciencias Agropecuarias y Recursos Naturales","Universidad Autónoma del Estado de México","Empleado","Docencia","Indefinido",NA
2024-04-10 17:14:16.145,"Sí","Desarrollo del Paisaje Rural","Femenino","21 a 25","Estado de México","Estado de México","Agronómica","Maestría en Ciencias Agropecuarias y Recursos Naturales","Universidad Autónoma del Estado de México","Solo estudia","Investigación","En 3 años",NA
2024-04-11 10:43:53,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","31 a 35","Jalisco","Nuevo León","Social","Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo","Universidad de Guadalajara","Empleado","Investigación","En 3 años",NA
2024-04-11 12:01:14.779,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","21 a 25","Nuevo León","Nuevo León","Agronómica","Maestría en Manejo y Aprovechamiento Integral de Recursos Bióticos","Universidad Autónoma de Nuevo León","Solo estudia","Investigación","En 1 año",NA
2024-04-11 12:11:40.351,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Masculino","41 a 45","Estado de México","Estado de México","Agronómica","Maestría en Ciencias Agropecuarias y Recursos Naturales","Universidad Autónoma del Estado de México","Trabaja y estudia","Investigación","En 1 año",NA
2024-04-11 12:34:42.841,"No",NA,"Femenino","21 a 25","Nuevo León","Nuevo León","Agronómica","Maestría en Manejo y Aprovechamiento Integral de Recursos Bióticos","Universidad Autónoma de Nuevo León","Trabaja y estudia","Investigación","En 1 año",NA
2024-04-13 09:49:47.974,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","26 a 30","Estado de México","Estado de México","Agronómica","Maestría en Ciencias Agropecuarias y Recursos Naturales","Universidad Autónoma del Estado de México","Solo estudia","Investigación","En 1 año",NA
2024-04-13 13:52:20.025,"Sí","Paisaje y Turismo Rural","Masculino","26 a 30","Estado de México","Estado de México","Social","Maestría en Ciencias en Agroindustria Rural, Desarrollo Territorial y Turismo Agroalimentario","Universidad Autónoma del Estado de México","Solo estudia","Investigación","En 1 año",NA
2024-04-15 16:16:45.733,"Sí","Manejo y Aprovechamiento del Paisaje Rural","Femenino","26 a 30","Nuevo León","Nuevo León","Agronómica","Maestría en Manejo y Aprovechamiento Integral de Recursos Bióticos","Universidad Autónoma de Nuevo León","Solo estudia","Investigación","Indefinido",NA
