marca_temporal,interes_en_doctorado,doctorado_de_interes,genero,edad,estado_estudios,estado_residencia,area_maestria,maestria_estudiada,universidad_estudios_maestria,situacion_laboral,motivacion_en_doctorado,tiempo_inicio_doctorado
2024-04-08 19:49:35.318,Si,Desarrollo del Paisaje Rural,Femenino,36 a 40,Tlaxcala,Tlaxcala,Social,Maestría en Desarrollo Regional,"El Colegio de Tlaxcala, A.C.",Solo estudia,Investigación,En 1 año
2024-04-09 09:23:20.147,Si,Paisaje y Turismo Rural,Femenino,31 a 35,Jalisco,CDMX,Social,"Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo ",Universidad de Guadalajara,Negocio propio,Investigación,En 1 año
2024-04-09 10:16:16.777,No,No,Femenino,31 a 35,Jalisco ,Jalisco ,Social,"Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo ",Universidad de Guadalajara,Trabaja como docente,Investigación,En 1 año
2024-04-09 15:48:18.210,No,No,Masculino,61 o más,Tlaxcala,Tlaxcala,Social,Maestría en Desarrollo Regional,"El Colegio de Tlaxcala, A.C.",Solo estudia,Aplicación en campo,En 1 año
2024-04-09 15:48:56.355,Si,Paisaje y Turismo Rural,Femenino,26 a 30,Jalisco,Jalisco,Social,"Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo ",Universidad de Guadalajara,Solo estudia,Aplicación en campo,En 2 años
2024-04-09 16:38:06.467,No,No,Femenino,21 a 25,Jalisco ,Nayarit ,Social,"Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo ",Universidad de Guadalajara,Trabaja y estudia,Investigación,En 1 año
2024-04-09 17:08:29.466,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,46 a 50,Jalisco,Jalisco,Social,"Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo ",Universidad de Guadalajara,Solo estudia,Docencia,En 1 año
2024-04-09 19:53:13.535,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Jalisco,Nayarit,Social,"Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo ",Universidad de Guadalajara,Trabaja y estudia,Investigación,En 3 años
2024-04-10 11:49:22.182,Si,Paisaje y Turismo Rural,Femenino,46 a 50,Estado de México,Estado de México,Agronómica,Maestría en Ciencias Agropecuarias y Recursos Naturales ,Universidad Autónoma del Estado de México,Trabaja como empleado,Docencia,Indefinido
2024-04-10 17:14:16.145,Si,Desarrollo del Paisaje Rural,Femenino,21 a 25,Estado de México ,Estado de México ,Agronómica,Maestría en Ciencias Agropecuarias y Recursos Naturales ,Universidad Autónoma del Estado de México,Solo estudia,Investigación,En 3 años
2024-04-11 10:43:53.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,31 a 35,Jalisco,Nuevo León,Social,"Maestría en Ciencias para el Desarrollo, la Sustentabilidad y Turismo ",Universidad de Guadalajara,Trabaja como empleado,Investigación,En 3 años
2024-04-11 12:01:14.779,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,21 a 25,Nuevo León,Nuevo León,Agronómica,Maestría en Manejo y Aprovechamiento Integral de Recursos Bióticos ,Universidad Autónoma de Nuevo León,Solo estudia,Investigación,En 1 año
2024-04-11 12:11:40.351,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,41 a 45,Estado de México,Estado de México,Agronómica,Maestría en Ciencias Agropecuarias y Recursos Naturales ,Universidad Autónoma del Estado de México,Trabaja y estudia,Investigación,En 1 año
2024-04-11 12:34:42.841,No,No,Femenino,21 a 25,Nuevo León ,Nuevo León ,Agronómica,Maestría en Manejo y Aprovechamiento Integral de Recursos Bióticos ,Universidad Autónoma de Nuevo León,Trabaja y estudia,Investigación,En 1 año
2024-04-13 09:49:47.974,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Estado de México,Estado de México,Agronómica,Maestría en Ciencias Agropecuarias y Recursos Naturales ,Universidad Autónoma del Estado de México,Solo estudia,Investigación,En 1 año
2024-04-13 13:52:20.025,Si,Paisaje y Turismo Rural,Masculino,26 a 30,Estado de México,Estado de México,Social,"Maestría en Ciencias en Agroindustria Rural, Desarrollo Territorial y Turismo Agroalimentario",Universidad Autónoma del Estado de México,Solo estudia,Investigación,En 1 año
2024-04-15 16:16:45.733,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Nuevo León,Nuevo León,Agronómica,Maestría en Manejo y Aprovechamiento Integral de Recursos Bióticos ,Universidad Autónoma de Nuevo León,Solo estudia,Investigación,Indefinido
2024-04-15 17:09:27.255,Si,Desarrollo rural,Femenino,31 a 35,Estado de México,Estado de México,Social,"Maestría en Ciencias en Agroindustria Rural, Desarrollo Territorial y Turismo Agroalimentario",Universidad Autónoma del Estado de México,Trabaja como empleado,Docencia,En 1 año
2024-04-15 17:38:41.925,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,36 a 40,Michoacán,Michoacán,Social,Maestría en Ciencias del Desarrollo Regional ,Universidad Michoacana de San Nicolás de Hidalgo,Negocio propio,Investigación,En 1 año
2024-04-15 17:40:17.175,Si,Desarrollo rural,Femenino,51 a 55,Michoacán ,Michoacán ,Social,Maestría en Ciencias del Desarrollo Regional ,Universidad Michoacana de San Nicolás de Hidalgo,Negocio propio,Aplicación en campo,En 2 años
2024-04-15 17:54:17.978,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,41 a 45,Michoacán ,Michoacán ,Social,Maestría en Ciencias del Desarrollo Regional ,Universidad Michoacana de San Nicolás de Hidalgo,Solo estudia,Investigación,En 1 año
2024-04-15 17:57:40.554,No,No,Femenino,51 a 55,Michoacán,Michoacan ,Social,Maestría en Ciencias del Desarrollo Regional ,Universidad Michoacana de San Nicolás de Hidalgo,Solo estudia,Aplicación en campo,En 2 años
2024-04-15 17:59:32.698,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Michoacán ,Michoacán,Social,Maestría en Ciencias del Desarrollo Regional ,Universidad Michoacana de San Nicolás de Hidalgo,Solo estudia,Docencia,En 1 año
2024-04-15 18:15:10.913,Si,Desarrollo del Paisaje Rural,Masculino,26 a 30,Michoacán,Michoacán,Social,Maestría en Ciencias del Desarrollo Regional ,Universidad Michoacana de San Nicolás de Hidalgo,Solo estudia,Investigación,En 1 año
2024-04-15 19:08:22.295,Si,Desarrollo rural,Femenino,31 a 35,Michoacán ,Michoacán ,Social,Maestría en Ciencias del Desarrollo Regional ,Universidad Michoacana de San Nicolás de Hidalgo,Trabaja como empleado,Aplicación en campo,En 1 año
2024-04-15 20:33:00.206,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,51 a 55,Michoacán ,Michoacán ,Social,Maestría en Ciencias del Desarrollo Regional ,Universidad Michoacana de San Nicolás de Hidalgo,Solo estudia,Aplicación en campo,En 2 años
2024-04-16 08:23:31.877,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,26 a 30,Estado de México,México ,Social,"Maestría en Ciencias en Agroindustria Rural, Desarrollo Territorial y Turismo Agroalimentario",Universidad Autónoma del Estado de México,No contesto,Investigación,En 1 año
2024-04-16 17:23:47.661,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,26 a 30,San Luis Potosí,Aguascalientes ,Agronómica,Maestría en Ciencias en Innovación en Manejo de Recursos Naturales ,Colegio de Postgraduados Campus SLP,Trabaja como empleado,Aplicación en campo,En 2 años
2024-04-16 17:45:18.151,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Estado de México,Querétaro,Social,"Maestría en Ciencias en Agroindustria Rural, Desarrollo Territorial y Turismo Agroalimentario",Universidad Autónoma del Estado de México,Trabaja como docente,Docencia,En 2 años
2024-04-16 20:17:32.950,Si,Paisaje y Turismo Rural,Femenino,26 a 30,Estado de México ,Estado de México ,Social,"Maestría en Ciencias en Agroindustria Rural, Desarrollo Territorial y Turismo Agroalimentario",Universidad Autónoma del Estado de México,Solo estudia,Docencia,En 1 año
2024-04-17 18:38:01.106,Si,Paisaje y Turismo Rural,Femenino,31 a 35,Estado de México ,Estado de México ,Agronómica,Maestría en Ciencias Agropecuarias y Recursos Naturales ,Universidad Autónoma del Estado de México,No contesto,Investigación,Indefinido
2024-04-19 12:54:38.957,Si,Desarrollo del Paisaje Rural,Masculino,36 a 40,Tabasco,Tabasco,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco ,Trabaja como empleado,Investigación,En 1 año
2024-04-19 13:01:05.542,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,51 a 55,Tabasco ,Tabasco,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco ,Trabaja y estudia,Investigación,En 2 años
2024-04-19 13:01:13.421,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Tabasco ,Tabasco ,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco ,Trabaja y estudia,Docencia,En 2 años
2024-04-19 13:07:19.813,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,26 a 30,Tabasco ,Tabasco,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco ,Solo estudia,Investigación,En 3 años
2024-04-19 13:12:11.108,Si,Paisaje y Turismo Rural,Masculino,31 a 35,Tabasco,Tabasco,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco,Solo estudia,Docencia,En 2 años
2024-04-19 13:59:18.856,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,31 a 35,Tabasco,Tabasco,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco,Solo estudia,Docencia,En 1 año
2024-04-19 14:00:10.382,Si,Paisaje y Turismo Rural,Masculino,41 a 45,Tabasco,Tabasco,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco,Trabaja como docente,Investigación,En 2 años
2024-04-19 14:06:36.803,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,31 a 35,Tabasco,Tabasco ,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco,Solo estudia,Aplicación en campo,En 1 año
2024-04-19 14:22:37.699,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,31 a 35,Tabasco,CDMX,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco,Trabaja como empleado,Aplicación en campo,Indefinido
2024-04-22 07:36:13.172,Si,Desarrollo del Paisaje Rural,Femenino,26 a 30,Tabasco ,Tabasco ,Social,Maestria en Ciencias en Gestión del Desarrollo Regional ,Universidad Juárez Autónoma de Tabasco,Trabaja como docente,Investigación,En 1 año
2024-04-23 15:33:13.872,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Chiapas,Chiapas,Agronómica,Maestría en Ciencias Agroforestales ,Universidad de Ciencias y Artes de Chiapas ,Trabaja como docente,Investigación,En 1 año
2024-04-23 15:38:14.445,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,26 a 30,Chiapas,Chiapas ,Agronómica,Maestría en Ciencias Agroforestales ,Universidad de Ciencias y Artes de Chiapas ,Trabaja como empleado,Investigación,En 1 año
2024-04-23 15:55:35.914,Si,Paisaje y Turismo Rural,Masculino,36 a 40,Chiapas,Chiapas,Agronómica,Maestría en Ciencias Agroforestales ,Universidad de Ciencias y Artes de Chiapas ,Trabaja como docente,Docencia,En 1 año
2024-04-23 16:13:32.091,Si,Desarrollo del Paisaje Rural,Femenino,51 a 55,Chiapas,Chiapas,Agronómica,Maestría en Ciencias Agroforestales ,Universidad de Ciencias y Artes de Chiapas ,Solo estudia,Docencia,En 1 año
2024-04-23 16:29:00.191,Si,Paisaje y Turismo Rural,Masculino,31 a 35,Chiapas,Chiapas,Agronómica,Maestría en Ciencias Agroforestales ,Universidad de Ciencias y Artes de Chiapas ,Solo estudia,Investigación,En 1 año
2024-04-27 18:39:37.070,Si,Paisaje y Turismo Rural,Femenino,56 a 60,Hidalgo,Hidalgo,Otras,Maestría en Tecnología Educativa,Universidad Autónoma del Estado de Hidalgo,Trabaja como docente,Investigación,En 1 año
2024-04-29 07:44:36.933,Si,Desarrollo rural,Masculino,56 a 60,Chiapas,Chiapas,Agronómica,Maestría en Ciencias Agroforestales ,Universidad de Ciencias y Artes de Chiapas ,Solo estudia,Aplicación en campo,En 2 años
2024-04-30 14:53:22.186,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,36 a 40,Puebla,Puebla,Social,Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional,Colegio de Postgraduados Campus Puebla,Solo estudia,Docencia,En 2 años
2024-04-30 19:15:16.583,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,36 a 40,Puebla,Tlaxcala,Social,Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional,Colegio de Postgraduados Campus Puebla,Trabaja como docente,Docencia,En 5 años
2024-04-30 19:36:21.937,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Puebla ,Morelos ,Social,Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional,Colegio de Postgraduados Campus Puebla,Trabaja como docente,Docencia,Indefinido
2024-04-30 19:37:14.604,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Puebla,Puebla ,Social,Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional,Colegio de Postgraduados Campus Puebla,Trabaja como docente,Investigación,En 1 año
2024-04-30 19:57:59.739,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,26 a 30,Puebla ,Puebla ,Social,Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional,Colegio de Postgraduados Campus Puebla,Solo estudia,Investigación,En 1 año
2024-05-01 06:53:34.178,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,36 a 40,Puebla,Puebla ,Social,Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional,Colegio de Postgraduados Campus Puebla,Trabaja como empleado,Docencia,En 1 año
2024-05-01 12:35:25.690,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,21 a 25,Puebla,Puebla,Social,Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional,Colegio de Postgraduados Campus Puebla,Trabaja como empleado,Investigación,En 1 año
2024-05-01 22:13:45.222,Si,Desarrollo del Paisaje Rural,Femenino,31 a 35,Tlaxcala,Tlaxcala,Social,Maestría en Desarrollo Regional,"El Colegio de Tlaxcala, A.C.",Solo estudia,Docencia,En 1 año
2024-05-03 10:51:58.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,31 a 35,Puebla,Puebla,Social,Maestría en Ciencias en Estrategias para el Desarrollo Agrícola Regional,Colegio de Postgraduados Campus Puebla,Trabaja como docente,Investigación,En 1 año
2024-05-06 11:14:20.138,Si,Urbanismo y Relaciones de Poder ,Femenino,31 a 35,Sonora,Sonora ,Economía,Maestría en Economía ,Universidad de Sonora,Trabaja y estudia,Aplicación en campo,En 1 año
2024-05-06 11:49:45.902,Si,Desarrollo Regional,Femenino,46 a 50,Sonora,Sonora,Social,Maestría en Desarrollo Regional,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Solo estudia,Docencia,Indefinido
2024-05-06 11:54:50.338,Si,Desarrollo Regional,Masculino,31 a 35,Sonora,Sonora,Economía,Maestría en Finanzas,UVM,Trabaja y estudia,Docencia,Indefinido
2024-05-06 11:56:38.011,Si,Energías ,Femenino,26 a 30,Sinaloa ,Sinaloa,Otras,Maestría en Ciencias Ambientales ,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como empleado,Docencia,En 1 año
2024-05-06 12:02:15.558,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,36 a 40,Sinaloa,Sinaloa,Otras,Maestría en Acuacultura,Universidad de Sonora,Trabaja como docente,Investigación,Indefinido
2024-05-06 12:02:37.480,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,41 a 45,Sinaloa,Sinaloa,Otras,Maestría en Ciencias  en Manejo Ambiental,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Negocio propio,Aplicación en campo,Indefinido
2024-05-06 12:21:02.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,31 a 35,Chihuahua,Chihuahua,Otras,Maestría en Ciencias,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como docente,Investigación,Indefinido
2024-05-06 12:22:03.000,No,No,Femenino,61 o más,Sonora,Sonora,Otras,Maestría en Ciencias,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como empleado,"no tengo interés , estoy por jubilarme",Indefinido
2024-05-06 12:24:33.000,No,No,Femenino,26 a 30,Sonora,Jalisco,Otras,Maestría en Ciencias,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Solo estudia,Investigación,Indefinido
2024-05-06 12:25:48.000,No,No,Masculino,51 a 55,Sonora,Sonora,Otras,MaeMaestria en Ciencias (Area terminal Biopolímeros),"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como docente,Investigación,Indefinido
2024-05-06 12:26:37.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,51 a 55,Sinaloa,Baja California Sur,Otras,Maestría en Ciencias  en Manejo Ambiental,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como empleado,Aplicación en campo,En 1 año
2024-05-06 12:35:13.000,No,No,Masculino,51 a 55,Sonora,Sonora,Otras,Maestría en Ciencias,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como empleado,Investigación,Indefinido
2024-05-06 12:40:51.000,Si,Desarrollo del Paisaje Rural,Femenino,36 a 40,Sonora,Sonora,Otras,Maestría en Ciencias,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como docente,Docencia,En 2 años
2024-05-06 12:48:20.000,No,No,Masculino,41 a 45,Sonora,Sonora,Economía,Maestría en Integración Económica,Universidad de Sonora,Solo estudia,Docencia,Indefinido
2024-05-06 12:57:32.000,Si,Desarrollo del Paisaje Rural,Femenino,31 a 35,Sonora,Sonora,Economía,Maestría en Integración Económica,Universidad de Sonora,Solo estudia,Docencia,Indefinido
2024-05-06 13:10:03.000,Si,Desarrollo del Paisaje Rural,Masculino,51 a 55,Sonora,Sonora,Otras,Maestría en Ciencias,El colegio de Sonora,Trabaja como docente,Investigación,En 1 año
2024-05-06 13:39:19.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,41 a 45,Sonora,Chiapas,Social,Maestría en Desarrollo Regional,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como empleado,Investigación,En 1 año
2024-05-06 13:54:21.000,Si,Desarrollo del Paisaje Rural,Femenino,46 a 50,Colima,Colima,Otras,Maestría en Administración,Universidad de Colima,Trabaja como docente,Investigación,Indefinido
2024-05-06 14:03:14.000,Si,Desarrollo del Paisaje Rural,Masculino,36 a 40,Sonora,Sonora,Social,Maestría en Desarrollo Regional,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja y estudia,Investigación,Indefinido
2024-05-06 14:04:30.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,41 a 45,Sonora,Sonora,Otras,Maestría en Ciencias,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja y estudia,Aplicación en campo,Indefinido
2024-05-06 14:06:52.000,Si,Desarrollo del Paisaje Rural,Femenino,31 a 35,Sonora,Sonora,Otras,Maestría en Marketing,Universidad de Sonora,Trabaja y estudia,Docencia,En 1 año
2024-05-06 14:29:18.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,51 a 55,Sonora,Sonora,Otras,Maestría en Ciencias,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como empleado,Investigación,Indefinido
2024-05-06 14:38:14.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,46 a 50,Sonora,USA,Social,Maestría en Desarrollo Regional,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como docente,Investigación,En 1 año
2024-05-06 15:28:41.000,Si,Paisaje y Turismo Rural,Masculino,31 a 35,Sonora,Sonora,Social,Maestría en Desarrollo Regional,Centro de Investigación en Alimentación y Desarrollo,Trabaja y estudia,Investigación,En 3 años
2024-05-06 15:52:24.000,Si,Paisaje y Turismo Rural,Masculino,26 a 30,Sonora,Sonora,Social,Maestría en Desarrollo Regional,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como empleado,Docencia,En 1 año
2024-05-06 17:01:12.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,31 a 35,Veracruz,Sinaloa,Alimentos,Innovación Agroalimentaria Sustentable,Colegio de Postgraduados Campus Córdoba,Trabaja como empleado,Investigación,En 1 año
2024-05-06 18:42:56.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Masculino,36 a 40,Sonora,Sonora,Otras,Maestría en Administracion,Universidad de Sonora,Solo estudia,Docencia,En 1 año
2024-05-06 20:41:54.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,56 a 60,Sonora,Sonora,Social,Maestría en Desarrollo Regional,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja y estudia,Docencia,En 2 años
2024-05-07 07:21:00.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,36 a 40,Chihuahua,Chihuahua,Otras,Maestría en Ciencias,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja como empleado,Ninguno,Indefinido
2024-05-07 09:37:34.000,Si,Desarrollo del Paisaje Rural,Masculino,51 a 55,Sonora,Sonora,Social,Maestría en Desarrollo Regional,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Trabaja y estudia,Investigación,En 2 años
2024-05-07 09:49:17.000,Si,Manejo y Aprovechamiento del Paisaje Rural,Femenino,46 a 50,Estado de México,Sonora,Alimentos,Ciencia y Tecnología Agroalimentaria,Universidad Autónoma Chapingo,Trabaja como docente,Investigación,En 3 años
