"categoria","variable","dim1","dim2","contrib_total","en_zoom"
"21 a 25","Edad",-1.61502737684092,0.053008788867337,7.32398416278821,FALSE
"26 a 30","Edad",-0.564595687541057,0.0393622195773424,4.94525196489563,TRUE
"31 a 35","Edad",0.305235559326128,-0.202831367860521,1.4652127547866,TRUE
"36 a 40","Edad",0.890837924425098,-0.431244642595413,5.70157155508412,FALSE
"41 a 45","Edad",0.254195736737805,0.646897133035659,1.58826322078221,TRUE
"46 a 50","Edad",0.381377152863763,-1.67416988810313,11.4706890939628,FALSE
"51 a 55","Edad",0.394413551755695,1.2910312656362,8.05396761923016,FALSE
"56 a 60","Edad",0.891615411776413,1.38244402955961,5.77021571183391,FALSE
"Agronómica","Área de maestría",-0.86262446017646,0.162666815610119,9.7907399001371,TRUE
"Alimentos","Área de maestría",0.348685936983684,-3.07244277079094,10.6937281349872,FALSE
"Aplicación en campo","Motivación",0.549429190033125,1.41332143251647,20.167352689367,FALSE
"Docencia","Motivación",0.162884527587417,0.0331248905578045,0.390458588878071,TRUE
"Docente","Situación laboral",0.445665203716187,-0.833726909855754,10.1295431866024,TRUE
"Economía","Área de maestría",0.962143542440922,0.585582380904864,1.87449179448137,FALSE
"Empleado","Situación laboral",0.647116894656318,0.053281665751992,3.74895905348553,TRUE
"En 1 año","Tiempo de inicio",-0.29384644551322,-0.13249815966354,2.71052383976434,TRUE
"En 2 años","Tiempo de inicio",-0.152107875771154,1.28499547073533,15.9143641974528,FALSE
"En 3 años","Tiempo de inicio",-0.756149166716626,-1.2278240608585,10.0084684695273,FALSE
"En 5 años","Tiempo de inicio",1.54284450445824,-1.57473242510242,2.50219924148505,FALSE
"Femenino","Género",0.39222595141359,-0.0640277002780996,4.30363375341962,TRUE
"Indefinido","Tiempo de inicio",1.39506117304793,-0.121463141637676,15.604170232564,FALSE
"Investigación","Motivación",-0.344352224240556,-0.449212528831014,8.59371919450733,TRUE
"Masculino","Género",-0.568727629549707,0.0928401654032449,6.24026894245848,TRUE
"Negocio propio","Situación laboral",0.330742205806414,0.912519964148644,2.58880555675613,TRUE
"Otras","Área de maestría",1.27106064559496,-0.00874516344671141,13.59269162645,FALSE
"Otro","Motivación",3.88456056811586,-0.697050666615968,7.3250500087031,FALSE
"Social","Área de maestría",-0.0660840353590616,0.00319890248822659,0.0982490906750391,TRUE
"Solo estudia","Situación laboral",-0.529615376408927,0.106433717584765,4.6731792812971,TRUE
"Trabaja y estudia","Situación laboral",-0.27899886882308,0.437608802055671,2.73024713363745,TRUE
